NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
830	8.29000	43.28720	314.37544	1215.33938	-8.34821	1.89698	6.40258	0.58176	0.99322	0.10556	-0.04874	-0.11145	0.98377	-0.14063	0.03310	0.14511	0.98886	
831	8.30000	46.64209	320.87313	1215.59749	-8.41282	1.86811	6.49489	0.60048	0.99305	0.10716	-0.04859	-0.11305	0.98343	-0.14172	0.03260	0.14623	0.98871	
832	8.31000	49.97790	327.38743	1215.92477	-8.46380	1.84607	6.71016	0.58448	0.99263	0.11087	-0.04884	-0.11679	0.98289	-0.14245	0.03221	0.14711	0.98860	
833	8.32000	53.29046	333.84297	1216.26919	-8.54720	1.83328	6.84553	0.58307	0.99236	0.11315	-0.04913	-0.11913	0.98241	-0.14379	0.03199	0.14855	0.98839	
834	8.33000	56.56623	340.40864	1216.65932	-8.59231	1.70750	7.02062	0.60307	0.99206	0.11644	-0.04750	-0.12217	0.98191	-0.14468	0.02980	0.14934	0.98834	
835	8.34000	59.90712	346.97235	1217.05551	-8.73709	1.68643	7.16373	0.55794	0.99176	0.11882	-0.04780	-0.12465	0.98124	-0.14709	0.02943	0.15183	0.98797	
836	8.35000	63.23006	353.56463	1217.43721	-8.77433	1.48098	7.29696	0.55710	0.99157	0.12161	-0.04471	-0.12697	0.98079	-0.14806	0.02585	0.15249	0.98797	
837	8.36000	66.58059	360.08784	1217.74018	-8.76768	1.38270	7.39233	0.58362	0.99140	0.12351	-0.04326	-0.12863	0.98057	-0.14809	0.02413	0.15238	0.98803	
838	8.37000	69.94329	366.73962	1218.13028	-8.77610	1.25893	7.53020	0.59938	0.99114	0.12619	-0.04152	-0.13102	0.98021	-0.14841	0.02197	0.15254	0.98805	
839	8.38000	73.35930	373.41806	1218.51527	-8.69088	1.21178	7.67009	0.61907	0.99083	0.12877	-0.04089	-0.13344	0.98010	-0.14696	0.02115	0.15107	0.98830	
840	8.39000	76.80698	380.05213	1218.92038	-8.73559	1.18065	7.76402	0.61704	0.99062	0.13043	-0.04070	-0.13506	0.97976	-0.14773	0.02060	0.15184	0.98819	
841	8.40000	80.36822	386.78665	1219.37123	-8.69211	1.02559	7.83763	0.57527	0.99050	0.13212	-0.03814	-0.13634	0.97965	-0.14730	0.01790	0.15110	0.98836	
842	8.41000	83.98252	393.51581	1219.63160	-8.65842	0.97753	8.00279	0.57247	0.99012	0.13509	-0.03766	-0.13920	0.97933	-0.14673	0.01706	0.15052	0.98846	
843	8.42000	87.71891	400.28798	1219.91731	-8.48958	0.97100	8.15195	0.52363	0.98975	0.13777	-0.03753	-0.14178	0.97940	-0.14376	0.01695	0.14761	0.98890	
844	8.43000	91.53878	407.17230	1220.12931	-8.53602	1.07419	8.33008	0.58461	0.98928	0.14052	-0.03985	-0.14485	0.97889	-0.14418	0.01875	0.14841	0.98875	
845	8.44000	95.41265	414.02586	1220.43587	-8.53055	1.02726	8.51749	0.59717	0.98881	0.14384	-0.03950	-0.14809	0.97842	-0.14407	0.01793	0.14831	0.98878	
846	8.45000	99.40037	420.95420	1220.62760	-8.34606	0.92376	8.61858	0.59841	0.98858	0.14596	-0.03752	-0.14984	0.97859	-0.14112	0.01612	0.14513	0.98928	
847	8.46000	103.39299	427.91387	1220.78729	-8.19805	0.74359	8.72527	0.57732	0.98834	0.14832	-0.03433	-0.15168	0.97861	-0.13900	0.01298	0.14258	0.98970	
848	8.47000	107.54915	435.04189	1220.92032	-8.21052	1.01116	8.89459	0.58686	0.98782	0.15054	-0.03934	-0.15459	0.97824	-0.13839	0.01765	0.14279	0.98960	
849	8.48000	111.70179	442.07598	1221.02846	-8.01468	0.95493	9.08128	0.58286	0.98733	0.15400	-0.03830	-0.15781	0.97819	-0.13507	0.01667	0.13941	0.99009	
850	8.49000	115.94355	449.31421	1220.93332	-7.99891	0.97242	9.23132	0.60473	0.98691	0.15653	-0.03891	-0.16040	0.97782	-0.13466	0.01697	0.13913	0.99013	
