NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	3D
MARKER_NAMES	DroneElCapitan - 1	DroneElCapitan - 2	DroneElCapitan - 3	DroneElCapitan - 4	DroneElCapitan - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	DroneElCapitan - 1 X	DroneElCapitan - 1 Y	DroneElCapitan - 1 Z	DroneElCapitan - 2 X	DroneElCapitan - 2 Y	DroneElCapitan - 2 Z	DroneElCapitan - 3 X	DroneElCapitan - 3 Y	DroneElCapitan - 3 Z	DroneElCapitan - 4 X	DroneElCapitan - 4 Y	DroneElCapitan - 4 Z	DroneElCapitan - 5 X	DroneElCapitan - 5 Y	DroneElCapitan - 5 Z	
138	1.37000	785.471	-377.436	68.070	37.657	467.827	67.538	810.697	402.584	74.011	743.236	-329.723	70.766	-5.763	-316.353	72.094
139	1.38000	785.475	-377.443	68.072	37.641	467.879	67.480	810.683	402.571	73.965	743.281	-329.696	70.762	-5.751	-316.415	72.039
140	1.39000	785.441	-377.445	68.032	37.650	467.832	67.464	810.749	402.480	73.903	743.222	-329.757	70.751	-5.786	-316.374	71.940
141	1.40000	785.478	-377.469	68.052	37.653	467.777	67.518	810.713	402.538	73.948	743.261	-329.716	70.770	-5.752	-316.376	72.003
142	1.41000	785.498	-377.392	68.091	37.659	467.853	67.508	810.706	402.569	73.948	743.224	-329.691	70.801	-5.760	-316.342	72.043
143	1.42000	785.462	-377.482	68.051	37.695	467.764	67.539	810.665	402.530	73.972	743.248	-329.722	70.770	-5.753	-316.403	72.009
144	1.43000	785.481	-377.495	68.013	37.700	467.753	67.492	810.703	402.493	73.927	743.220	-329.725	70.705	-5.742	-316.392	72.007
145	1.44000	785.489	-377.484	68.075	37.659	467.823	67.532	810.714	402.514	73.955	743.250	-329.735	70.742	-5.775	-316.376	71.998
146	1.45000	785.484	-377.429	68.056	37.694	467.803	67.496	810.703	402.535	73.961	743.245	-329.760	70.754	-5.788	-316.370	71.987
147	1.46000	785.470	-377.446	68.045	37.668	467.766	67.505	810.700	402.548	73.905	743.219	-329.695	70.741	-5.778	-316.397	72.001
148	1.47000	785.491	-377.415	68.068	37.661	467.819	67.545	810.676	402.569	73.929	743.245	-329.686	70.733	-5.768	-316.367	72.014
149	1.48000	785.474	-377.425	68.101	37.669	467.877	67.522	810.684	402.564	74.026	743.220	-329.680	70.798	-5.745	-316.311	72.066
150	1.49000	785.494	-377.393	68.104	37.677	467.834	67.521	810.692	402.542	73.993	743.240	-329.686	70.754	-5.759	-316.331	72.039
151	1.50000	785.452	-377.458	68.038	37.656	467.814	67.444	810.695	402.512	73.927	743.231	-329.740	70.717	-5.752	-316.405	71.956
152	1.51000	785.471	-377.465	68.067	37.691	467.796	67.461	810.674	402.520	73.924	743.220	-329.710	70.742	-5.782	-316.360	71.995
153	1.52000	785.498	-377.428	68.063	37.684	467.787	67.514	810.668	402.555	73.931	743.239	-329.721	70.758	-5.756	-316.372	71.997
154	1.53000	785.495	-377.417	68.085	37.674	467.755	67.505	810.730	402.468	73.907	743.250	-329.755	70.744	-5.787	-316.369	71.983
155	1.54000	785.479	-377.503	68.055	37.672	467.816	67.417	810.707	402.499	73.941	743.230	-329.743	70.736	-5.775	-316.427	72.026
156	1.55000	785.527	-377.427	68.062	37.688	467.821	67.509	810.674	402.528	73.964	743.226	-329.706	70.789	-5.758	-316.369	72.035
